ANDR_HUMAN.H10DI.A
ANDR_HUMAN.PEAKS033090.macs.M
ANDR_HUMAN.PEAKS033090.pics.M
ANDR_HUMAN.PEAKS033090.sissrs.M
ANDR_HUMAN.PEAKS033109.gem.M
ANDR_HUMAN.PEAKS033110.gem.M
ANDR_HUMAN.PEAKS033110.macs.M
ANDR_HUMAN.PEAKS033110.pics.M
ANDR_HUMAN.PEAKS033110.sissrs.M
ANDR_HUMAN.PEAKS033111.gem.M
ANDR_HUMAN.PEAKS033111.macs.M
ANDR_HUMAN.PEAKS033111.pics.M
ANDR_HUMAN.PEAKS033111.sissrs.M
ANDR_HUMAN.PEAKS033113.gem.M
ANDR_HUMAN.PEAKS033113.macs.M
ANDR_HUMAN.PEAKS033113.pics.M
ANDR_HUMAN.PEAKS033113.sissrs.M
ANDR_HUMAN.PEAKS033164.gem.M
ANDR_HUMAN.PEAKS033164.macs.M
ANDR_HUMAN.PEAKS033164.pics.M
ANDR_HUMAN.PEAKS033248.gem.M
ANDR_HUMAN.PEAKS033248.macs.M
ANDR_HUMAN.PEAKS033248.pics.M
ANDR_HUMAN.PEAKS033248.sissrs.M
ANDR_HUMAN.PEAKS033252.gem.M
ANDR_HUMAN.PEAKS033252.macs.M
ANDR_HUMAN.PEAKS033252.sissrs.M
ANDR_HUMAN.PEAKS033253.macs.M
ANDR_HUMAN.PEAKS033253.pics.M
ANDR_HUMAN.PEAKS033253.sissrs.M
ANDR_HUMAN.PEAKS033320.gem.M
ANDR_HUMAN.PEAKS033320.macs.M
ANDR_HUMAN.PEAKS033320.pics.M
ANDR_HUMAN.PEAKS033320.sissrs.M
ANDR_HUMAN.PEAKS033359.pics.M
ANDR_HUMAN.PEAKS033359.sissrs.M
ANDR_HUMAN.PEAKS033385.gem.M
ANDR_HUMAN.PEAKS033385.pics.M
ANDR_HUMAN.PEAKS033389.gem.M
ANDR_HUMAN.PEAKS033389.macs.M
ANDR_HUMAN.PEAKS033389.pics.M
ANDR_HUMAN.PEAKS033413.gem.M
ANDR_HUMAN.PEAKS033413.macs.M
ANDR_HUMAN.PEAKS033413.sissrs.M
ANDR_HUMAN.PEAKS034497.gem.M
ANDR_HUMAN.PEAKS034497.macs.M
ANDR_HUMAN.PEAKS034497.pics.M
ANDR_HUMAN.PEAKS034497.sissrs.M
ANDR_HUMAN.PEAKS034498.gem.M
ANDR_HUMAN.PEAKS034498.macs.M
ANDR_HUMAN.PEAKS034498.pics.M
ANDR_HUMAN.PEAKS034498.sissrs.M
ANDR_HUMAN.PEAKS034501.gem.M
ANDR_HUMAN.PEAKS034501.macs.M
ANDR_HUMAN.PEAKS034501.sissrs.M
ANDR_HUMAN.PEAKS034502.gem.M
ANDR_HUMAN.PEAKS034502.macs.M
ANDR_HUMAN.PEAKS034502.sissrs.M
ANDR_HUMAN.PEAKS034503.gem.M
ANDR_HUMAN.PEAKS034503.macs.M
ANDR_HUMAN.PEAKS034503.sissrs.M
ANDR_HUMAN.PEAKS034504.pics.M
ANDR_HUMAN.PEAKS034504.sissrs.M
ANDR_HUMAN.PEAKS034531.gem.M
ANDR_HUMAN.PEAKS034531.macs.M
ANDR_HUMAN.PEAKS034531.sissrs.M
ANDR_HUMAN.PEAKS034532.gem.M
ANDR_HUMAN.PEAKS034532.sissrs.M
ANDR_HUMAN.PEAKS034534.gem.M
ANDR_HUMAN.PEAKS034534.macs.M
ANDR_HUMAN.PEAKS034534.sissrs.M
ANDR_HUMAN.PEAKS034538.gem.M
ANDR_HUMAN.PEAKS034538.macs.M
ANDR_HUMAN.PEAKS034538.pics.M
ANDR_HUMAN.PEAKS034538.sissrs.M
ANDR_HUMAN.PEAKS034540.gem.M
ANDR_HUMAN.PEAKS034584.gem.M
ANDR_HUMAN.PEAKS034584.sissrs.M
ANDR_HUMAN.PEAKS034588.gem.M
ANDR_HUMAN.PEAKS034588.macs.M
ANDR_HUMAN.PEAKS034588.sissrs.M
ANDR_HUMAN.PEAKS034589.gem.M
ANDR_HUMAN.PEAKS034589.macs.M
ANDR_HUMAN.PEAKS034684.gem.M
ANDR_HUMAN.PEAKS034684.macs.M
ANDR_HUMAN.PEAKS034684.pics.M
ANDR_HUMAN.PEAKS034684.sissrs.M
ANDR_HUMAN.PEAKS034685.pics.M
ANDR_HUMAN.PEAKS034690.gem.M
ANDR_HUMAN.PEAKS034690.macs.M
ANDR_HUMAN.PEAKS034690.pics.M
ANDR_HUMAN.PEAKS034691.gem.M
ANDR_HUMAN.PEAKS034691.macs.M
ANDR_HUMAN.PEAKS034691.pics.M
ANDR_HUMAN.PEAKS034701.pics.M
ANDR_HUMAN.PEAKS034701.sissrs.M
ANDR_HUMAN.PEAKS034702.gem.M
ANDR_HUMAN.PEAKS034702.macs.M
ANDR_HUMAN.PEAKS034702.pics.M
ANDR_HUMAN.PEAKS034702.sissrs.M
ANDR_HUMAN.PEAKS034703.pics.M
ANDR_HUMAN.PEAKS034703.sissrs.M
ANDR_HUMAN.PEAKS034704.gem.M
ANDR_HUMAN.PEAKS034704.macs.M
ANDR_HUMAN.PEAKS034704.pics.M
ANDR_HUMAN.PEAKS034704.sissrs.M
ANDR_HUMAN.PEAKS034705.gem.M
ANDR_HUMAN.PEAKS034705.macs.M
ANDR_HUMAN.PEAKS034705.pics.M
ANDR_HUMAN.PEAKS034705.sissrs.M
ANDR_HUMAN.PEAKS034706.gem.M
ANDR_HUMAN.PEAKS034706.macs.M
ANDR_HUMAN.PEAKS034706.pics.M
ANDR_HUMAN.PEAKS034706.sissrs.M
ANDR_HUMAN.PEAKS034707.gem.M
ANDR_HUMAN.PEAKS034707.macs.M
ANDR_HUMAN.PEAKS034707.pics.M
ANDR_HUMAN.PEAKS034707.sissrs.M
ANDR_HUMAN.PEAKS034708.gem.M
ANDR_HUMAN.PEAKS034708.macs.M
ANDR_HUMAN.PEAKS034708.pics.M
ANDR_HUMAN.PEAKS034708.sissrs.M
ANDR_HUMAN.PEAKS034903.gem.M
ANDR_HUMAN.PEAKS034941.gem.M
ANDR_HUMAN.PEAKS034941.macs.M
ANDR_HUMAN.PEAKS034941.sissrs.M
ANDR_HUMAN.PEAKS035010.gem.M
ANDR_HUMAN.PEAKS035010.pics.M
ANDR_HUMAN.PEAKS035011.gem.M
ANDR_HUMAN.PEAKS035011.macs.M
ANDR_HUMAN.PEAKS035020.pics.M
ANDR_HUMAN.PEAKS035021.gem.M
ANDR_HUMAN.PEAKS035021.macs.M
ANDR_HUMAN.PEAKS035021.pics.M
ANDR_HUMAN.PEAKS035021.sissrs.M
ANDR_HUMAN.PEAKS035022.gem.M
ANDR_HUMAN.PEAKS035022.macs.M
ANDR_HUMAN.PEAKS035022.pics.M
ANDR_HUMAN.PEAKS035022.sissrs.M
ANDR_HUMAN.PEAKS035023.gem.M
ANDR_HUMAN.PEAKS035023.macs.M
ANDR_HUMAN.PEAKS035023.pics.M
ANDR_HUMAN.PEAKS035023.sissrs.M
ANDR_HUMAN.PEAKS035072.gem.M
ANDR_HUMAN.PEAKS035072.macs.M
ANDR_HUMAN.PEAKS035072.sissrs.M
ANDR_HUMAN.PEAKS035073.gem.M
ANDR_HUMAN.PEAKS035073.sissrs.M
ANDR_HUMAN.PEAKS035074.gem.M
ANDR_HUMAN.PEAKS035074.sissrs.M
ANDR_HUMAN.PEAKS035080.sissrs.M
ANDR_HUMAN.PEAKS035082.macs.M
ANDR_HUMAN.PEAKS035082.sissrs.M
ANDR_HUMAN.PEAKS035084.macs.M
ANDR_HUMAN.PEAKS035084.sissrs.M
ANDR_HUMAN.PEAKS035119.gem.M
ANDR_HUMAN.PEAKS035119.macs.M
ANDR_HUMAN.PEAKS035119.pics.M
ANDR_HUMAN.PEAKS035119.sissrs.M
ANDR_HUMAN.PEAKS035120.gem.M
ANDR_HUMAN.PEAKS035120.macs.M
ANDR_HUMAN.PEAKS035120.pics.M
ANDR_HUMAN.PEAKS035121.gem.M
ANDR_HUMAN.PEAKS035121.macs.M
ANDR_HUMAN.PEAKS035121.pics.M
ANDR_HUMAN.PEAKS035121.sissrs.M
ANDR_HUMAN.PEAKS035125.gem.M
ANDR_HUMAN.PEAKS035125.macs.M
