0	exp	specie	TFclass	antibody	treatment	cell_line	peak_id	tf	control_id	cotrol_anti	externalrefs	Uniprot_ID	Uniprot_AC	control_refs	gem_peaks	sissrs_peaks	macs_peaks	macs_filter_peaks	pics_peaks
914	EXP032494	Homo sapiens	3.1.1.8.9	hoxc11	Untreated	LY2	PEAKS035017	Hox-C11 (HOX3H)	EXP032492		GEO:GSM1306053,GEO:GSE54027	O43248	HXC11_HUMAN	GEO:GSM1306054,GEO:GSE54027	116	704	678	5	2
915	EXP010564	Homo sapiens	1.1.2.2.1	ATF3	None	HepG2	PEAKS033723	ATF-3	EXP010539	RevXlinkChromatin	GEO:GSM803503	P18847	ATF3_HUMAN	GEO:GSM803521	934	381	1434	1	71
916	EXP032226	Homo sapiens	3.7.1.7.1	JARID2		MRC-iPS-25	PEAKS034961	JARID2 (Jumonji, JMJ)	EXP032219	input	GEO:GSM1180153,GEO:GSE48516	Q92833	JARD2_HUMAN	GEO:GSM1180152,GEO:GSE48516	57	4684	5468	2442	1
917	EXP030658	Homo sapiens	1.2.6.5.1	Abcam : ab32		GP5d	PEAKS034554	c-Myc	EXP030650	Santa Cruz Biotechnology, Inc. : sc-2027	GEO:GSM1240821,GEO:GSE51234	P01106	MYC_HUMAN	GEO:GSM1240818,GEO:GSE51234	7844	7007	14453	14245	134
918	EXP000535	Mus musculus	3.5.2.5.1	PU.1		thioglycollate-elicited peritoneal macrophages	PEAKS035329	PU.1 (Spi-1)			GEO:GSM532741,GEO:GSE21314,PUBMED:20176806	P17433	SPI1_MOUSE		46684	54871	47278	47278	31333
919	EXP000933	Homo sapiens	7.1.1.1.1	SMAD1		Pro-erythroblasts	PEAKS033398	SMAD1	EXP000937	input	GEO:GSM722397,GEO:GSE29194,GEO:GSM722398,PUBMED:22036566	Q15797	SMAD1_HUMAN	GEO:GSM722406,GEO:GSM722407,GEO:GSE29194,PUBMED:22036566	3224	4095	11228	710	863
920	EXP031546	Homo sapiens	6.2.1.0.4	sc-486	patient1	peripheral blood mononuclear cells (PBMCs)	PEAKS034788	STAT4	EXP031541	ab46540	GEO:GSM945606,GEO:GSE38567,PUBMED:22730365	Q14765	STAT4_HUMAN	GEO:GSM945613,GEO:GSE38567,PUBMED:22730365	42	6768	1859	1	1
921	EXP010324	Homo sapiens	2.3.3.50.1	CTCF	None	AG09319	PEAKS033595	CTCF [11]	EXP010783	Input	GEO:GSM749728,GEO:GSM749723	P49711	CTCF_HUMAN	GEO:GSM945173,GEO:GSM749671	55865	10327	56360	56360	11231
922	EXP010481	Homo sapiens	2.3.3.8.1	ZBTB7A_(SC-34508)	None	K562	PEAKS033683	ZBTB7A	EXP010671	RevXlinkChromatin	GEO:GSM803473	O95365	ZBT7A_HUMAN	GEO:GSM803468	34582	1551	25228	22126	971
923	EXP010160	Homo sapiens	2.1.3.1.1	RXRA	None	H1-hESC	PEAKS033500	RXR&#945; (NR2B1)	EXP010428	RevXlinkChromatin	GEO:GSM803506	P19793	RXRA_HUMAN	GEO:GSM803339	3212	2650	10818	9846	2726
924	EXP000444	Homo sapiens	3.3.1.16.1	FOXP1		H9 hESCs	PEAKS033379	FOXP1	EXP000443		PUBMED:21924763,GEO:GSM768311,GEO:GSM768310,GEO:GSE31006	Q9H334	FOXP1_HUMAN	PUBMED:21924763,GEO:GSM768313,GEO:GSM768312,GEO:GSE31006	30688	2931	79377	79377	
925	EXP011057	Homo sapiens	1.2.6.5.1	c-Myc	None	H1-hESC	PEAKS033925	c-Myc			GEO:GSM822274	P01106	MYC_HUMAN		6343	120858	26111	26111	81849
926	EXP000768	Homo sapiens	6.1.1.2.1	NF?B p65 (C-20) rabbit polyclonal antibody	TNF-alpha induced (6h)	GM18951	PEAKS033318	NF-&#954;B p65 (RelA)	EXP000769	normal rabbit IgG	PUBMED:20299548,GEO:GSM486305,GEO:GSM486306,GEO:GSM486307,GEO:GSM486308,GEO:GSE19485	Q04206	TF65_HUMAN	PUBMED:20299548,GEO:GSM486310,GEO:GSE19485,GEO:GSM486309	18919	834	14784	14665	404
927	EXP001013	Homo sapiens	2.1.1.2.1	ER-alpha	E2	H3396	PEAKS033122	Estrogen receptor &#945; (ER&#945;) (NR3A1)			GEO:GSE32332,PUBMED:21642965,GEO:GSM811209,GEO:GSM811208	P03372	ESR1_HUMAN		15624	83330	21791	21791	98198
928	EXP033004	Mus musculus	1.1.1.3.1	anti-ATF2		3T3-L1	PEAKS036653	ATF-2	EXP033001	none	GEO:GSM1368013,GEO:GSE56745,PUBMED:24788520	P16951	ATF2_MOUSE	GEO:GSM1368002,GEO:GSE56745,PUBMED:24788520	24920	1370	22798	22760	
929	EXP032923	Mus musculus	1.1.2.2.1	anti-ATF3	LPS	C57BL/6	PEAKS036613	ATF-3			GEO:GSM1314660,GEO:GSE54414	Q60765	ATF3_MOUSE		11578	21859	22783	22783	163
930	EXP031960	Mus musculus	1.1.8.1.2	CEBPb [CEBP B:(C-19): sc-150, lot:#I1010]	Thapsigargin treatment for 3 hrs	Primary dermal fibroblasts	PEAKS036187	C/EBP&#946; (NF-IL6-1)			GEO:GSM1094255,GEO:GSE44942,PUBMED:23590861	P28033	CEBPB_MOUSE		8785	92909	12804	12804	104996
931	EXP010762	Homo sapiens	3.2.2.2.2	PAX5-C20	None	GM12878	PEAKS033826	Pax-5	EXP010375	RevXlinkChromatin	GEO:GSM803391	Q02548	PAX5_HUMAN	GEO:GSM803351	20452	14143	43662	43662	18746
932	EXP030541	Mus musculus	2.2.1.1.2	Gata2		Mast cell	PEAKS035568	GATA-2			GEO:GSM1041378,GEO:GSE42518,PUBMED:23524953	O09100	GATA2_MOUSE		63189	120884	67116	67116	
933	EXP000850	Mus musculus	7.1.1.1.3	Smad3	Activin, -Myod1, day 2	MC1R(20):tetMyod1(14) embryonic stem cells	PEAKS035326	SMAD3			GEO:GSM590100,GEO:GSE21614,PUBMED:22036565	Q8BUN5	SMAD3_MOUSE		4833	8765	7893	7893	23429
934	EXP000881	Homo sapiens	2.1.1.2.1	sc-543	ETOH (ethanol)	MCF-7 breast cancer cells	PEAKS033133	Estrogen receptor &#945; (ER&#945;) (NR3A1)	EXP000889	input	GEO:GSM589236,GEO:GSE23893,PUBMED:21179027	P03372	ESR1_HUMAN	GEO:GSM589244,GEO:GSE23893,PUBMED:21179027	1749	1267	2442	3	42
935	EXP010728	Homo sapiens	2.3.4.0.27	NRSF	None	GM12878	PEAKS033806	REST [1+7+1] (NRSF, XBR)	EXP010062	RevXlinkChromatin	GEO:GSM1010744	Q13127	REST_HUMAN	GEO:GSM803351	5191	7389	16185	16185	150902
936	EXP000140	Homo sapiens	4.1.3.0.3	TCF4	vehicle control	LS180 cells	PEAKS033294	TCF-7L2 (TCF-4) [1]	EXP000146		GEO:GSM791409,GEO:GSE31939,PUBMED:22108803	Q9NQB0	TF7L2_HUMAN	GEO:GSM791415,GEO:GSE31939,PUBMED:22108803	2692	23557	30979	30979	63321
937	EXP010069	Homo sapiens	6.2.1.0.3	STAT3	4OHTAM_1uM_36hr	MCF10A-Er-Src	PEAKS033453	STAT3	EXP010052	Input	GEO:GSM935457	P40763	STAT3_HUMAN	GEO:GSM935641	68734	19514	75967	53251	20159
938	EXP010437	Homo sapiens	3.5.1.1.3	MYBL2_(SC-81192)	None	HepG2	PEAKS033653	B-Myb (Myb-L2)	EXP010023	RevXlinkChromatin	GEO:GSM1010876	P10244	MYBB_HUMAN	GEO:GSM1010814	17552	7027	53632	53632	
939	EXP030501	Homo sapiens	2.1.1.1.4	AR (Kang et al. 2004; Sahu et al. 2011)	100 nM DHT+Dex	LNCaP-1F5 cells	PEAKS034498	Androgen receptor (AR) (NR3C4)	EXP030492	rabbit IgG	GEO:GSM980663,GEO:GSE39879,PUBMED:23269278	P10275	ANDR_HUMAN	GEO:GSM759671,GEO:GSE39879,PUBMED:23269278	17294	11900	27416	27416	4295
940	EXP032701	Mus musculus	1.2.3.1.1	scl		primary mast cells	PEAKS036514	Tal-1 (SCL, TCL-5)			GEO:GSM1167583,GEO:GSE48085,PUBMED:24760698	P22091	TAL1_MOUSE		9406	17542	16974	16974	5098
941	EXP032700	Mus musculus	6.4.1.0.2	runx1		primary mast cells	PEAKS036513	Runx1 (PEBP2&#945;B, CBF-&#945;2, AML-1)			GEO:GSM1167582,GEO:GSE48085,PUBMED:24760698	Q03347	RUNX1_MOUSE		68382	121300	55137	55137	66578
942	EXP031776	Mus musculus	2.1.2.5.3	anti-PPAR? (sc-7196; Santa Cruz)	none	brown adipous tissue-derived adipocytes	PEAKS036104	PPAR&#947; (NR1C3)	EXP031773	none (input)	GEO:GSM1018068,GEO:GSE41481,PUBMED:22733994	P37238	PPARG_MOUSE	GEO:GSM1125036,GEO:GSE41481,PUBMED:22733994	26733	10538	34662	34662	308
943	EXP000600	Homo sapiens	2.3.3.50.1	07-079		NHEK	PEAKS033088	CTCF [11]			GEO:GSM624081,GEO:GSE25416,PUBMED:21106903	P49711	CTCF_HUMAN		74861	109138	99245	99245	79524
944	EXP000435	Mus musculus	1.1.3.1.2	MafA (Abcam ab17976 lot 950583)		hand-picked pancreatic islets	PEAKS035429	MafA			GEO:GSM751037,GEO:GSE30298	Q8CF90	MAFA_MOUSE		32154		48111	48111	5529
945	EXP000784	Mus musculus	2.2.1.1.3	anti-Gata3 (558686, BD bioscience)		Double negative cells	PEAKS035219	GATA-3			GEO:GSM523221,GEO:GSE20898,PUBMED:21867929	P23772	GATA3_MOUSE		7357	12749	9629	9629	5063
946	EXP032248	Mus musculus	6.1.1.2.1	p65 (Santa Cruz sc-372)	Kdo2 Lipid A (KLA) 1h	Macrophage	PEAKS036311	NF-&#954;B p65 (RelA)	EXP032241		GEO:GSM1183974,GEO:GSE48759,PUBMED:23932714	Q04207	TF65_MOUSE	GEO:GSM1184042,GEO:GSE48759,PUBMED:23932714	6719	30611	25264	25264	
947	EXP032455	Homo sapiens	2.2.1.1.1	anti-GATA1		CD34+ HSPC-derived proerythroblasts	PEAKS035013	GATA-1 (GF-1, EryF1, NF-E1)	EXP032454		GEO:GSM1278240,GEO:GSE52924	P15976	GATA1_HUMAN	GEO:GSM1278243,GEO:GSE52924	127760	17831	110203	110203	278
948	EXP010548	Homo sapiens	3.5.2.3.1	ELF1_(SC-631)	None	HepG2	PEAKS033715	Elf-1	EXP010228	RevXlinkChromatin	GEO:GSM803415	P32519	ELF1_HUMAN	GEO:GSM803463	19412	15988	34509	34509	66049
949	EXP030404	Homo sapiens	2.3.3.50.1	CTCF		K562	PEAKS034462	CTCF [11]	EXP030395	none	GEO:GSE26320,GEO:GSM646432,GEO:GSM646433,PUBMED:21441907	P49711	CTCF_HUMAN	GEO:GSE26320,GEO:GSM646452,GEO:GSM646453,PUBMED:21441907	58906	13572	61093	61093	32925
950	EXP011214	Homo sapiens	2.3.3.50.1	CTCF		GM13976	PEAKS034052	CTCF [11]	EXP010884	Input	GEO:GSM1006885	P49711	CTCF_HUMAN	GEO:GSM1006894	33868	1594	20195	17128	12
951	EXP031344	Mus musculus	2.3.1.3.1	sc-110, ab54966-100	LPS, 120 min	bone marrow-derived dendritic cells	PEAKS035917	EGR1 (Krox-24)	EXP031268	none	GEO:GSM881140,GEO:GSE36099,PUBMED:22940246	P08046	EGR1_MOUSE	GEO:GSM881123,GEO:GSE36099,PUBMED:22940246	157	569	1060	937	19887
952	EXP032790	Homo sapiens	2.2.1.1.3	GATA3 serum (generated in rabbits using recombinant 6x histidine tag-fused GATA3 full-length wild-type protein)		T47D	PEAKS035111	GATA-3	EXP032786	none (input)	GEO:GSM1241758,GEO:GSE51274	P23771	GATA3_HUMAN	GEO:GSM1241759,GEO:GSE51274	10248	7319	14956	7438	1117
953	EXP011115	Homo sapiens	3.1.4.4.3	Pbx3	None	SK-N-SH	PEAKS033969	PBX-3	EXP010872	RevXlinkChromatin	GEO:GSM1010887	P40426	PBX3_HUMAN	GEO:GSM1010883	44942	8262	50131	29289	
954	EXP010236	Homo sapiens	3.3.1.1.1	FOXA1_(SC-101058)	None	HepG2	PEAKS033546	FOXA1 (HNF-3&#945;)	EXP010489	RevXlinkChromatin	GEO:GSM803432	P55317	FOXA1_HUMAN	GEO:GSM803463	55970	42321	77896	77896	140856
955	EXP010257	Homo sapiens	3.5.2.5.1	PU.1	None	GM12878	PEAKS033556	PU.1 (Spi-1)	EXP010581	RevXlinkChromatin	GEO:GSM803531	P17947	SPI1_HUMAN	GEO:GSM803351	64026	17200	92841	92841	
956	EXP011046	Homo sapiens	1.1.8.1.2	CEBPB_(SC-150)	None	HCT-116	PEAKS033916	C/EBP&#946; (NF-IL6-1)	EXP010900	RevXlinkChromatin	GEO:GSM1010852	P17676	CEBPB_HUMAN	GEO:GSM1010872	8724	6304	13616	5713	3203
957	EXP031370	Mus musculus	4.1.3.0.5	taf1		mouse embryonic stem cells (E14)	PEAKS035942	TAF-1 (TAF-2A, TAF(II)250) [1]	EXP031369		GEO:GSM881344,GEO:GSE36114,PUBMED:22682255	Q80UV9	TAF1_MOUSE	GEO:GSM881345,GEO:GSE36114,PUBMED:22682255	268	32	4	0	1
958	EXP000364	Homo sapiens	3.5.2.5.1	anti-PU.1		THP-1	PEAKS033375	PU.1 (Spi-1)	EXP000365	normal mouse IgG	GEO:GSM624143,GEO:GSE25426	P17947	SPI1_HUMAN	GEO:GSM624144,GEO:GSE25426	37551	25149	57191	57191	46131
959	EXP030896	Mus musculus	3.1.2.17.2	nkx2-5		HL-1 cardiac muscle cell line	PEAKS035685	NKX-2.5 (NKX2-5, NKX2E, NKX4-1, CSX)	EXP030893	none	GEO:GSM558906,GEO:GSE21529,PUBMED:21415370	P42582	NKX25_MOUSE	GEO:GSM558903,GEO:GSE21529,PUBMED:21415370	36026	3181	36923	1	
960	EXP031285	Mus musculus	3.3.2.1.4	sc-512	LPS, 30 min	bone marrow-derived dendritic cells	PEAKS035858	E2F-4	EXP031269	none	GEO:GSM881062,GEO:GSE36099,PUBMED:22940246	Q8R0K9	E2F4_MOUSE	GEO:GSM881124,GEO:GSE36099,PUBMED:22940246	682	1309	3231	3213	38089
961	EXP032821	Mus musculus	2.1.1.2.1	anti mouse ER-alpha	10 nM beta-estradiol (E2)	liver	PEAKS036566	Estrogen receptor &#945; (ER&#945;) (NR3A1)	EXP032817	Input chromatin	GEO:GSM1263819,GEO:GSE52351	P19785	ESR1_MOUSE	GEO:GSM1263823,GEO:GSE52351	41411	5896	38374	38374	
962	EXP030991	Homo sapiens	1.2.6.4.1	AP4		androgen-dependent prostate cancer cells	PEAKS034668	AP-4	EXP030990	none	GEO:GSM714610,GEO:GSE28857	Q01664	TFAP4_HUMAN	GEO:GSM715395,GEO:GSE28857	5331	5534	11456	3148	5404
963	EXP010064	Homo sapiens	1.2.6.5.5	Max	None	HeLa-S3	PEAKS033450	Max	EXP010027	Input	GEO:GSM935318	P61244	MAX_HUMAN	GEO:GSM817342	40978	26515	57062	57046	49816
964	EXP010206	Homo sapiens	2.3.3.50.1	CTCF	None	BE2_C	PEAKS033532	CTCF [11]	EXP010830	Input	GEO:GSM1022653,GEO:GSM1022650	P49711	CTCF_HUMAN	GEO:GSM1022648,GEO:GSM945283	57686	8970	57408	57408	17484
965	EXP000474	Homo sapiens	2.1.1.2.1	ER?, Santa Cruz Biotechnology, sc-8005 X	E2 for 24hr	Breast cancer cells	PEAKS033067	Estrogen receptor &#945; (ER&#945;) (NR3A1)			GEO:GSM862181,GEO:GSE35109	P03372	ESR1_HUMAN		2280	45945	4947	4947	48576
966	EXP010284	Mus musculus	2.3.3.50.1	CTCF		Kidney	PEAKS035477	CTCF [11]	EXP010888	Input	GEO:GSM918731	Q61164	CTCF_MOUSE	GEO:GSM918716,GEO:GSM769033	56907	18222	60547	60547	26761
967	EXP030662	Homo sapiens	2.1.3.2.1	Santa Cruz Biotechnology, Inc. : sc-8987	siRAD21	GP5d	PEAKS034558	HNF-4&#945; (NR2A1)	EXP030653	Santa Cruz Biotechnology, Inc. : sc-2027	GEO:GSM1240829,GEO:GSE51234	P41235	HNF4A_HUMAN	GEO:GSM1240832,GEO:GSE51234	1769	5036	3800	595	195
968	EXP010705	Homo sapiens	3.5.1.6.3	BAF155	None	HeLa-S3	PEAKS033794	SMARCC1 (BAF155)	EXP010725	Input	GEO:GSM935637	Q92922	SMRC1_HUMAN	GEO:GSM935535	5816	6220	28495	16025	1
969	EXP031645	Mus musculus	1.1.4.0.1	BATF (from Ken Murphy [rabbit ], not commercial available)		CD4+ T Cells	PEAKS036037	B-ATF	EXP031633	Rabbit IgG (R&D, AB-105-C, ER11)	GEO:GSM978758,GEO:GSE39756,PUBMED:22992523	O35284	BATF_MOUSE	GEO:GSM978749,GEO:GSE39756,PUBMED:22992523	5070	258	8568	106	18
970	EXP030604	Mus musculus	3.3.1.1.2	FOXA2		postnatal day 12 female mouse uterus	PEAKS035601	FOXA2 (HNF-3&#946;)			GEO:GSM1173224,GEO:GSE48238	P35583	FOXA2_MOUSE		1502	23446	7520	7520	90348
971	EXP000346	Homo sapiens	2.1.2.4.1	sc-1008		GM10861	PEAKS033371	VDR (NR1I1)	EXP000343	none	GEO:GSM558635,GEO:GSM558634,GEO:GSE22484,PUBMED:20736230	P11473	VDR_HUMAN	GEO:GSM558639,GEO:GSE22484,PUBMED:20736230	9019	4233	16119	16119	743
972	EXP000794	Mus musculus	3.5.2.1.5	Fli1 (santa cruz, cat#sc356X, Lot#L0407)		T-helper 2 cells	PEAKS035384	Fli-1			GEO:GSM654874,GEO:GSE20898,PUBMED:21867929	P26323	FLI1_MOUSE		479	3159	7739	7739	64
973	EXP030938	Mus musculus	3.2.1.1.1	Pax3		primary myoblasts	PEAKS035695	Pax-3 (HuP2)	EXP030936		GEO:GSM615620,GEO:GSE25064,PUBMED:22609161	P24610	PAX3_MOUSE	GEO:GSM615621,GEO:GSE25064,PUBMED:22609161	2187	2347	2593	1	
974	EXP031264	Mus musculus	3.1.9.2.2	Cux2		CD-1 (Charles River), female	PEAKS035842	Cux-2 (Cut-L2)			GEO:GSM878679,GEO:GSE35985,PUBMED:22966202	P70298	CUX2_MOUSE		2806		4433	4433	
975	EXP031797	Mus musculus	8.1.1.0.1	anti-TBP (abcam 62126)		C3H10T1/2 cells	PEAKS036112	TBP	EXP031793	IgG (in-house)	GEO:GSM1030548,GEO:GSE41937,PUBMED:23326641	P29037	TBP_MOUSE	GEO:GSM1030540,GEO:GSE41937,PUBMED:23326641	21791	15840	28481	23299	
976	EXP031770	Homo sapiens	2.1.1.1.3	anti-Progesterone receptor	progestin R5020 30 minutes	T47D-MTVL breast cancer cell line	PEAKS034853	Progesterone receptor (PR) (NR3C3)	EXP031768	anti-Progesterone receptor	GEO:GSM1017849,GEO:GSE41466	P06401	PRGR_HUMAN	GEO:GSM1017847,GEO:GSE41466	204	33	641	18	1
977	EXP000927	Mus musculus	2.3.4.0.27	Upstate 07-574		V6.5 embryonic stem cells	PEAKS035402	REST [1+7+1] (NRSF, XBR)			GEO:GSM687285,GEO:GSE27841	Q8VIG1	REST_MOUSE		10265	19662	17414	17414	32412
978	EXP000074	Homo sapiens	6.1.1.2.1	anti p65	TA+TNF?	HeLa B2	PEAKS033140	NF-&#954;B p65 (RelA)			GEO:GSM604659,GEO:GSE24518,PUBMED:21750107	Q04206	TF65_HUMAN		11913	21182	17419	17419	13573
979	EXP010658	Mus musculus	1.2.6.2.2	USF2	None	CH12	PEAKS035502	USF-2	EXP010703	Input	GEO:GSM912910	Q64705	USF2_MOUSE	GEO:GSM912918	7113	3693	6142	6028	
980	EXP000141	Homo sapiens	4.1.3.0.3	TCF4	1,25(OH)2D3	LS180 cells	PEAKS033293	TCF-7L2 (TCF-4) [1]	EXP000146		GEO:GSM791410,GEO:GSE31939,PUBMED:22108803	Q9NQB0	TF7L2_HUMAN	GEO:GSM791415,GEO:GSE31939,PUBMED:22108803	3424	13256	34247	34247	55014
981	EXP010667	Homo sapiens	3.6.1.0.2	TEAD4_(SC-101184)	None	HepG2	PEAKS033779	TEF-3 (TEAD-4, TCF-13L1)	EXP010023	RevXlinkChromatin	GEO:GSM1010875	Q15561	TEAD4_HUMAN	GEO:GSM1010814	19791	12515	50759	50759	13269
982	EXP011102	Homo sapiens	1.1.7.1.1	CREB1_(SC-240)	None	ECC-1	PEAKS033960	CREB	EXP010824	RevXlinkChromatin	GEO:GSM1010857	P16220	CREB1_HUMAN	GEO:GSM1010874	4477	4858	2534	2534	605
983	EXP030988	Mus musculus	4.1.1.2.2	Sox2 produced in-house	Tet	ZHBTc4	PEAKS035723	SOX-2			GEO:GSM703190,GEO:GSE28453,PUBMED:24120664	P48432	SOX2_MOUSE		1971	4115	4275	4275	3424
984	EXP011234	Homo sapiens	3.5.2.3.1	ELF1_(SC-631)	None	HCT-116	PEAKS034068	Elf-1	EXP010900	RevXlinkChromatin	GEO:GSM1010765	P32519	ELF1_HUMAN	GEO:GSM1010872	1805	705	2175	0	1
985	EXP032239	Mus musculus	6.2.1.0.5	STAT5A (Santa Cruz, sc-1081, lot# J3007)		mammary gland	PEAKS036304	STAT5A	EXP032236	none	GEO:GSM1295564,GEO:GSE48685,PUBMED:24277936	P42230	STA5A_MOUSE	GEO:GSM1295563,GEO:GSE48685,PUBMED:24277936	13535	146	7101	6529	1
986	EXP011154	Homo sapiens	6.2.1.0.5	STAT5A_(SC-74442)	None	GM12878	PEAKS034003	STAT5A	EXP010843	RevXlinkChromatin	GEO:GSM1010721	P42229	STA5A_HUMAN	GEO:GSM1010867	8275	6027	54104	54104	268
987	EXP031892	Mus musculus	3.1.2.14.1	BL4000		mixed 129/B6	PEAKS036161	NKX-2.1 (NKX2-1, TTF-1)	EXP031886	n/a	GEO:GSM1059355,GEO:GSE43252,PUBMED:23523371	P50220	NKX21_MOUSE	GEO:GSM1059357,GEO:GSE43252,PUBMED:23523371	14732	17691	22462	22462	136397
988	EXP032864	Homo sapiens	2.1.1.1.4	anti-AR	BICALUTAMIDE	LNCAP	PEAKS035130	Androgen receptor (AR) (NR3C4)			PUBMED:24737870,GEO:GSM1207899,GEO:GSM1207900,GEO:GSE49832	P10275	ANDR_HUMAN		3878	4715	6738	6738	2327
989	EXP000588	Homo sapiens	2.2.1.1.1	GATA1	24 hours following induction with TPA	K562	PEAKS033157	GATA-1 (GF-1, EryF1, NF-E1)	EXP000586		GEO:GSM610335,GEO:GSE24777,PUBMED:20959602	P15976	GATA1_HUMAN	GEO:GSM610333,GEO:GSE24777,PUBMED:20959602	9167	222	4473	0	1
990	EXP010083	Homo sapiens	1.2.6.5.1	c-Myc	IFNg30	K562	PEAKS033462	c-Myc	EXP010731	Input	GEO:GSM935548	P01106	MYC_HUMAN	GEO:GSM935420	46652	2083	29263	29124	652
991	EXP032584	Mus musculus	1.2.5.3.1	ncoa1		Mouse embryonic day 11.5 (e11.5) hindbrain	PEAKS036479	NCoA-1 (SRC-1)	EXP032580		GEO:GSM1135067,GEO:GSE37151,PUBMED:24752179	P70365	NCOA1_MOUSE	GEO:GSM1135068,GEO:GSE37151,PUBMED:24752179	139	48	2204	1	16
992	EXP031272	Mus musculus	1.2.5.1.1	ab81937	LPS, 120 min	bone marrow-derived dendritic cells	PEAKS035845	AhR	EXP031268	none	GEO:GSM881049,GEO:GSE36099,PUBMED:22940246	P30561	AHR_MOUSE	GEO:GSM881123,GEO:GSE36099,PUBMED:22940246	2	593	579	542	38
993	EXP031214	Mus musculus	4.1.3.0.3	Tcf4 (mouse monoclonal, clone 6H5-3)		Hepatocytes isolated from adult liver	PEAKS035805	TCF-7L2 (TCF-4) [1]	EXP031213		GEO:GSM863767,GEO:GSE35213,PUBMED:24214913	Q924A0	TF7L2_MOUSE	GEO:GSM863769,GEO:GSE35213,PUBMED:24214913	8419	11187	12225	11317	
994	EXP031919	Homo sapiens	1.2.1.0.3	anti-HEB (Santa Cruz; sc-357)		Kasumi-1 cells	PEAKS034881	HTF-4 (TCF-12, HEB)	EXP031917	none	GEO:GSM1082308,GEO:GSE43834,PUBMED:23812588	Q99081	HTF4_HUMAN	GEO:GSM1082310,GEO:GSE43834,PUBMED:23812588	11740	8677	18691	16294	2011
995	EXP031489	Homo sapiens	2.1.2.4.1	Sc-1008x	100nM calcipotriol + 1ng/ml TGFb	LX2	PEAKS034776	VDR (NR1I1)	EXP031484	none	GEO:GSM934617,GEO:GSE38103,PUBMED:23622244	P11473	VDR_HUMAN	GEO:GSM934613,GEO:GSE38103,PUBMED:23622244	18147	12692	33675	33675	9301
996	EXP010692	Homo sapiens	2.3.3.50.1	CTCF	None	HUVEC	PEAKS033788	CTCF [11]	EXP010113	Input	GEO:GSM822279	P49711	CTCF_HUMAN	GEO:GSM822280	53315	13119	50280	50267	27564
997	EXP010057	Homo sapiens	1.2.6.7.5	Mxi1_(AF4185)	None	K562	PEAKS033448	Mxi-1	EXP010530	Input	GEO:GSM935497	P50539	MXI1_HUMAN	GEO:GSM935618	5429	6738	15866	14562	812
998	EXP032224	Homo sapiens	3.7.1.7.1	JARID2		AM-iPS-6	PEAKS034959	JARID2 (Jumonji, JMJ)	EXP032216	input	GEO:GSM1180138,GEO:GSE48516	Q92833	JARD2_HUMAN	GEO:GSM1180137,GEO:GSE48516	6801	8466	12073	4071	60
999	EXP031952	Mus musculus	6.5.4.0.2	Tbx3 (Santa Cruz)		Mouse embryoid bodies	PEAKS036180	TBX3			GEO:GSM1090229,GEO:GSE44764,PUBMED:23584530	P70324	TBX3_MOUSE		60886	553820	184003	184003	366901
1000	EXP032023	Homo sapiens	8.1.1.0.1	MAb-002-100	none	ME-1	PEAKS034921	TBP			GEO:GSM1122308,GEO:GSE46044,PUBMED:24002588	P20226	TBP_HUMAN		13532	45806	12128	12128	29373
1001	EXP032608	Homo sapiens	1.2.6.5.1	anti-c-Myc (N262) [Santa Cruz, catalog# sc764]	Doxycycline 1ug/ml for 30 hours	U2OS	PEAKS035045	c-Myc	EXP032597	none (input control)	GEO:GSM1231597,GEO:GSE44672	P01106	MYC_HUMAN	GEO:GSM1231607,GEO:GSE44672	10593	19448	35495	35495	65349
1002	EXP000843	Mus musculus	7.1.1.1.3	Smad3	Activin	V6.5 embryonic stem cells	PEAKS035436	SMAD3			GEO:GSM539542,GEO:GSE21614,PUBMED:22036565	Q8BUN5	SMAD3_MOUSE		5162	6049	6644	6644	1799
1003	EXP031540	Homo sapiens	2.3.3.50.1	rabbit anti-CTCF		BCBL1	PEAKS034783	CTCF [11]	EXP031539	Mouse IgG [Santa Cruz, Cat#2025, Lot#B1710]	GEO:GSM941710,GEO:GSE38411	P49711	CTCF_HUMAN	GEO:GSM970828,GEO:GSE38411	47488	19154	61659	52952	19623
1004	EXP030907	Homo sapiens	3.5.2.1.6	ERG		K562 (leukemic)	PEAKS034652	ERG			GEO:GSM726984,GEO:GSE23730,PUBMED:22983443	P11308	ERG_HUMAN		20459	238563	31016	31016	24558
1005	EXP011198	Homo sapiens	2.3.3.50.1	CTCF		Pancreas_OC	PEAKS034038	CTCF [11]	EXP010932	Input	GEO:GSM1006881	P49711	CTCF_HUMAN	GEO:GSM1006871	46184	27296	57892	57892	42536
1006	EXP032992	Mus musculus	2.1.1.2.1	anti-ERalpha	saline vehicle	uterine cells	PEAKS036649	Estrogen receptor &#945; (ER&#945;) (NR3A1)			GEO:GSM1361945,GEO:GSE56466	P19785	ESR1_MOUSE		10027	54310	28868	28868	35523
1007	EXP000964	Homo sapiens	7.1.1.2.1	R&D Systems AF2097		H9	PEAKS033289	SMAD4	EXP000966	input	GEO:GSM727561,GEO:GSE29422,PUBMED:21741376	Q13485	SMAD4_HUMAN	GEO:GSM727569,GEO:GSE29422,PUBMED:21741376	3315	7652	14649	14649	93214
