0	exp	specie	TFclass	antibody	treatment	cell_line	peak_id	tf	control_id	cotrol_anti	externalrefs	Uniprot_ID	Uniprot_AC	control_refs	gem_peaks	sissrs_peaks	macs_peaks	macs_filter_peaks	pics_peaks
11	EXP032780	Homo sapiens	6.1.1.2.1	p65	vehicle	AC16	PEAKS035105	NF-&#954;B p65 (RelA)			GEO:GSM1239996,GEO:GSM1239995,PUBMED:24564208,GEO:GSE51169	Q04206	TF65_HUMAN		1956	4626	4361	4361	10706
12	EXP030898	Mus musculus	6.5.4.0.4	tbx5		HL-1 cardiac muscle cell line	PEAKS035687	TBX5	EXP030893	none	GEO:GSM558908,GEO:GSE21529,PUBMED:21415370	P70326	TBX5_MOUSE	GEO:GSM558903,GEO:GSE21529,PUBMED:21415370	62594	23035	82897	25520	
13	EXP000362	Homo sapiens	2.1.2.5.3	anti-PPARg		THP-1	PEAKS033404	PPAR&#947; (NR1C3)	EXP000365	normal mouse IgG	GEO:GSM624141,GEO:GSE25426	P37231	PPARG_HUMAN	GEO:GSM624144,GEO:GSE25426	3687	3851	10571	10556	740
14	EXP000046	Mus musculus	1.1.8.1.2	CEBP? (Santa Cruz Biotechnologies, sc-150)		3T3-L1 6hr of differentiation	PEAKS035294	C/EBP&#946; (NF-IL6-1)	EXP000051		GEO:GSM544721,GEO:GSE21898,PUBMED:20478996	P28033	CEBPB_MOUSE	GEO:GSM544726,GEO:GSE21898,PUBMED:20478996	19754	15624	34136	34117	20211
15	EXP010464	Homo sapiens	2.3.3.50.1	CTCF	None	K562	PEAKS033675	CTCF [11]	EXP010916	Input	GEO:GSM749690,GEO:GSM749733	P49711	CTCF_HUMAN	GEO:GSM749719,GEO:GSM945294	52806		53961	53961	19475
16	EXP000944	Homo sapiens	7.1.1.1.1	SMAD1	dorso	K562	PEAKS033086	SMAD1	EXP000959	input	GEO:GSM722417,GEO:GSE29195,PUBMED:22036566	Q15797	SMAD1_HUMAN	GEO:GSM722420,GEO:GSM722421,GEO:GSE29195,PUBMED:22036566	1786	2466	7459	1063	61132
17	EXP030676	Homo sapiens	2.1.1.2.1	SC-543		HCC-1428	PEAKS034567	Estrogen receptor &#945; (ER&#945;) (NR3A1)			GEO:GSM675074,GEO:GSE27300,PUBMED:22049316	P03372	ESR1_HUMAN		1252	8227	5129	5129	3720
18	EXP032800	Mus musculus	2.1.2.4.1	VDR (Santa Cruz, C-20, sc-1008, lot# A0912)	100nM 1,25(OH)2D3	MC3T3-E1 differentiated for 15 days	PEAKS036554	VDR (NR1I1)			GEO:GSM1027491,GEO:GSE51513,PUBMED:24891508	P48281	VDR_MOUSE		6142	803104	19733	19733	492814
19	EXP000431	Homo sapiens	3.5.2.1.4	GABPA(Santa Cruz Biotechnology, cat# sc-22810, lot# B2009)		RWPE-1	PEAKS033223	GABP&#945; (E4TF1-60, NRSF-2&#945;)			GEO:GSM738822,GEO:GSE29808,PUBMED:22012618	Q06546	GABPA_HUMAN		386	19529	2599	2599	462
20	EXP032297	Homo sapiens	1.1.5.0.1	XBP1 (Biolegend, 619502)	hypoxia and glucose deprivation	HS578T	PEAKS034980	XBP-1	EXP032294	none	GEO:GSM1276192,GEO:GSE49952,GEO:GSM1239669	P17861	XBP1_HUMAN	GEO:GSM1276193,GEO:GSE49952	3283	1803	6207	0	
21	EXP030781	Homo sapiens	3.5.3.0.1	IRF1 (Santa Cruz sc-497)	MCSF (10ng/ml) and stimulated with LPS (50ng/ml) for 6 hours	CD14+ monocytes	PEAKS034606	IRF-1	EXP030776	none, input	GEO:GSM1057026,GEO:GSE43036,PUBMED:24012417	P10914	IRF1_HUMAN	GEO:GSM1057030,GEO:GSE43036,PUBMED:24012417	12778	3722	36158	36158	
22	EXP030400	Homo sapiens	2.3.3.50.1	CTCF		HepG2	PEAKS034458	CTCF [11]	EXP030391	none	GEO:GSM646354,GEO:GSM646353,GEO:GSE26320,PUBMED:21441907	P49711	CTCF_HUMAN	GEO:GSE26320,GEO:GSM646370,PUBMED:21441907,GEO:GSM646371	59497	13140	59418	59418	41792
23	EXP031166	Mus musculus	2.1.2.3.2	REV-ERB beta		liver	PEAKS035784	Rev-ErbA&#946; (NR1D2)	EXP031164	none	GEO:GSM840529,GEO:GSE34019,PUBMED:22460952	Q60674	NR1D2_MOUSE	GEO:GSM840530,GEO:GSE34019,PUBMED:22460952	21950	13833	25680	25680	
24	EXP032037	Mus musculus	1.1.8.1.2	C/EBPbeta sc-150, santa cruz	dex adDN-C/EBP	liver	PEAKS036206	C/EBP&#946; (NF-IL6-1)	EXP032035	input	GEO:GSM1122531,GEO:GSE46047	P28033	CEBPB_MOUSE	GEO:GSM1122539,GEO:GSE46047,GEO:GSM1122537	25247	17691	29629	13666	
25	EXP030897	Mus musculus	5.1.2.0.1	srf		HL-1 cardiac muscle cell line	PEAKS035686	SRF	EXP030893	none	GEO:GSM558907,GEO:GSE21529,PUBMED:21415370	Q9JM73	SRF_MOUSE	GEO:GSM558903,GEO:GSE21529,PUBMED:21415370	18387	1734	25611	0	
26	EXP000625	Mus musculus	2.6.1.0.3	Tet1 rabbit polyclonal antibodies	wild-type	mouse ES cells	PEAKS035222	TET1 (CXXC6, LCX)	EXP000627	Rabbit IgG	GEO:GSM659799,GEO:GSE26832,PUBMED:21451524	Q3URK3	TET1_MOUSE	GEO:GSM659803,GEO:GSE26832,PUBMED:21451524	8965	9020	29322	29223	2
27	EXP031951	Mus musculus	6.5.4.0.2	Tbx3 (Santa Cruz)		Mouse embryonic stem cells	PEAKS036179	TBX3			GEO:GSM1090228,GEO:GSE44764,PUBMED:23584530	P70324	TBX3_MOUSE		47148	396420	158457	158457	445469
28	EXP032742	Homo sapiens	3.5.2.1.4	SC-22810	vehicle	VCaP	PEAKS035091	GABP&#945; (E4TF1-60, NRSF-2&#945;)	EXP032735	Input	GEO:GSM1193660,GEO:GSE49091,PUBMED:24753418	Q06546	GABPA_HUMAN	GEO:GSM1193669,GEO:GSE49091,PUBMED:24753418	15106	6404	14584	7166	1987
