Model	Transcription factor	TF family
E2F3_HUMAN.H11MO.0.A	E2F3	E2F-related factors{3.3.2}
E2F4_HUMAN.H11MO.0.A	E2F4	E2F-related factors{3.3.2}
E2F5_HUMAN.H11MO.0.B	E2F5	E2F-related factors{3.3.2}
E2F6_HUMAN.H11MO.0.A	E2F6	E2F-related factors{3.3.2}
E2F7_HUMAN.H11MO.0.B	E2F7	E2F-related factors{3.3.2}
EGR1_HUMAN.H11MO.0.A	EGR1	Three-zinc finger Krüppel-related factors{2.3.1}
EGR2_HUMAN.H11MO.0.A	EGR2	Three-zinc finger Krüppel-related factors{2.3.1}
EHF_HUMAN.H11MO.0.B	EHF	Ets-related factors{3.5.2}
ELF1_HUMAN.H11MO.0.A	ELF1	Ets-related factors{3.5.2}
ELF2_HUMAN.H11MO.0.C	ELF2	Ets-related factors{3.5.2}
ELF3_HUMAN.H11MO.0.A	ELF3	Ets-related factors{3.5.2}
ELF5_HUMAN.H11MO.0.A	ELF5	Ets-related factors{3.5.2}
ELK1_HUMAN.H11MO.0.B	ELK1	Ets-related factors{3.5.2}
ELK4_HUMAN.H11MO.0.A	ELK4	Ets-related factors{3.5.2}
EPAS1_HUMAN.H11MO.0.B	EPAS1	PAS domain factors{1.2.5}
ERG_HUMAN.H11MO.0.A	ERG	Ets-related factors{3.5.2}
ERR1_HUMAN.H11MO.0.A	ESRRA	Steroid hormone receptors (NR3){2.1.1}
ERR2_HUMAN.H11MO.0.A	ESRRB	Steroid hormone receptors (NR3){2.1.1}
ERR3_HUMAN.H11MO.0.B	ESRRG	Steroid hormone receptors (NR3){2.1.1}
ESR1_HUMAN.H11MO.0.A	ESR1	Steroid hormone receptors (NR3){2.1.1}
ESR2_HUMAN.H11MO.0.A	ESR2	Steroid hormone receptors (NR3){2.1.1}
ETS1_HUMAN.H11MO.0.A	ETS1	Ets-related factors{3.5.2}
ETS2_HUMAN.H11MO.0.B	ETS2	Ets-related factors{3.5.2}
ETV1_HUMAN.H11MO.0.A	ETV1	Ets-related factors{3.5.2}
ETV2_HUMAN.H11MO.0.B	ETV2	Ets-related factors{3.5.2}
ETV4_HUMAN.H11MO.0.B	ETV4	Ets-related factors{3.5.2}
ETV5_HUMAN.H11MO.0.C	ETV5	Ets-related factors{3.5.2}
EVI1_HUMAN.H11MO.0.B	MECOM	Factors with multiple dispersed zinc fingers{2.3.4}
FEV_HUMAN.H11MO.0.B	FEV	Ets-related factors{3.5.2}
FEZF1_HUMAN.H11MO.0.C	FEZF1	More than 3 adjacent zinc finger factors{2.3.3}
FLI1_HUMAN.H11MO.0.A	FLI1	Ets-related factors{3.5.2}
FOSB_HUMAN.H11MO.0.A	FOSB	Fos-related factors{1.1.2}
FOSL1_HUMAN.H11MO.0.A	FOSL1	Fos-related factors{1.1.2}
FOSL2_HUMAN.H11MO.0.A	FOSL2	Fos-related factors{1.1.2}
FOS_HUMAN.H11MO.0.A	FOS	Fos-related factors{1.1.2}
FOXA1_HUMAN.H11MO.0.A	FOXA1	Forkhead box (FOX) factors{3.3.1}
FOXA2_HUMAN.H11MO.0.A	FOXA2	Forkhead box (FOX) factors{3.3.1}
FOXA3_HUMAN.H11MO.0.B	FOXA3	Forkhead box (FOX) factors{3.3.1}
FOXC1_HUMAN.H11MO.0.C	FOXC1	Forkhead box (FOX) factors{3.3.1}
FOXH1_HUMAN.H11MO.0.A	FOXH1	Forkhead box (FOX) factors{3.3.1}
FOXI1_HUMAN.H11MO.0.B	FOXI1	Forkhead box (FOX) factors{3.3.1}
FOXJ2_HUMAN.H11MO.0.C	FOXJ2	Forkhead box (FOX) factors{3.3.1}
FOXJ3_HUMAN.H11MO.0.A	FOXJ3	Forkhead box (FOX) factors{3.3.1}
FOXK1_HUMAN.H11MO.0.A	FOXK1	Forkhead box (FOX) factors{3.3.1}
FOXM1_HUMAN.H11MO.0.A	FOXM1	Forkhead box (FOX) factors{3.3.1}
FOXO1_HUMAN.H11MO.0.A	FOXO1	Forkhead box (FOX) factors{3.3.1}
FOXO3_HUMAN.H11MO.0.B	FOXO3	Forkhead box (FOX) factors{3.3.1}
FOXO4_HUMAN.H11MO.0.C	FOXO4	Forkhead box (FOX) factors{3.3.1}
FOXP1_HUMAN.H11MO.0.A	FOXP1	Forkhead box (FOX) factors{3.3.1}
FOXP2_HUMAN.H11MO.0.C	FOXP2	Forkhead box (FOX) factors{3.3.1}
FOXQ1_HUMAN.H11MO.0.C	FOXQ1	Forkhead box (FOX) factors{3.3.1}
GABPA_HUMAN.H11MO.0.A	GABPA	Ets-related factors{3.5.2}
GATA1_HUMAN.H11MO.0.A	GATA1	GATA-type zinc fingers{2.2.1}
GATA2_HUMAN.H11MO.0.A	GATA2	GATA-type zinc fingers{2.2.1}
GATA3_HUMAN.H11MO.0.A	GATA3	GATA-type zinc fingers{2.2.1}
GATA4_HUMAN.H11MO.0.A	GATA4	GATA-type zinc fingers{2.2.1}
GATA6_HUMAN.H11MO.0.A	GATA6	GATA-type zinc fingers{2.2.1}
GCR_HUMAN.H11MO.0.A	NR3C1	Steroid hormone receptors (NR3){2.1.1}
GFI1B_HUMAN.H11MO.0.A	GFI1B	More than 3 adjacent zinc finger factors{2.3.3}
GFI1_HUMAN.H11MO.0.C	GFI1	More than 3 adjacent zinc finger factors{2.3.3}
GLI3_HUMAN.H11MO.0.B	GLI3	More than 3 adjacent zinc finger factors{2.3.3}
GRHL2_HUMAN.H11MO.0.A	GRHL2	Grainyhead-related factors{6.7.1}
HEN1_HUMAN.H11MO.0.C	NHLH1	Tal-related factors{1.2.3}
HIC1_HUMAN.H11MO.0.C	HIC1	Factors with multiple dispersed zinc fingers{2.3.4}
HIF1A_HUMAN.H11MO.0.C	HIF1A	PAS domain factors{1.2.5}
HINFP_HUMAN.H11MO.0.C	HINFP	Factors with multiple dispersed zinc fingers{2.3.4}
HLF_HUMAN.H11MO.0.C	HLF	C/EBP-related{1.1.8}
HNF1A_HUMAN.H11MO.0.C	HNF1A	POU domain factors{3.1.10}
HNF1B_HUMAN.H11MO.0.A	HNF1B	POU domain factors{3.1.10}
HNF4A_HUMAN.H11MO.0.A	HNF4A	RXR-related receptors (NR2){2.1.3}
HNF4G_HUMAN.H11MO.0.B	HNF4G	RXR-related receptors (NR2){2.1.3}
HNF6_HUMAN.H11MO.0.B	ONECUT1	HD-CUT factors{3.1.9}
HSF1_HUMAN.H11MO.0.A	HSF1	HSF factors{3.4.1}
HSF2_HUMAN.H11MO.0.A	HSF2	HSF factors{3.4.1}
HTF4_HUMAN.H11MO.0.A	TCF12	E2A-related factors{1.2.1}
HXA10_HUMAN.H11MO.0.C	HOXA10	HOX-related factors{3.1.1}
HXA13_HUMAN.H11MO.0.C	HOXA13	HOX-related factors{3.1.1}
HXA1_HUMAN.H11MO.0.C	HOXA1	HOX-related factors{3.1.1}
HXA9_HUMAN.H11MO.0.B	HOXA9	HOX-related factors{3.1.1}
HXB13_HUMAN.H11MO.0.A	HOXB13	HOX-related factors{3.1.1}
HXB4_HUMAN.H11MO.0.B	HOXB4	HOX-related factors{3.1.1}
