Model	Transcription factor	TF family
TFE3_HUMAN.H11MO.0.B	TFE3	bHLH-ZIP factors{1.2.6}
TFEB_HUMAN.H11MO.0.C	TFEB	bHLH-ZIP factors{1.2.6}
TGIF1_HUMAN.H11MO.0.A	TGIF1	TALE-type homeo domain factors{3.1.4}
THA11_HUMAN.H11MO.0.B	THAP11	THAP-related factors{2.9.1}
THAP1_HUMAN.H11MO.0.C	THAP1	THAP-related factors{2.9.1}
THA_HUMAN.H11MO.0.C	THRA	Thyroid hormone receptor-related factors (NR1){2.1.2}
THB_HUMAN.H11MO.0.C	THRB	Thyroid hormone receptor-related factors (NR1){2.1.2}
TWST1_HUMAN.H11MO.0.A	TWIST1	Tal-related factors{1.2.3}
TYY1_HUMAN.H11MO.0.A	YY1	More than 3 adjacent zinc finger factors{2.3.3}
USF1_HUMAN.H11MO.0.A	USF1	bHLH-ZIP factors{1.2.6}
USF2_HUMAN.H11MO.0.A	USF2	bHLH-ZIP factors{1.2.6}
VDR_HUMAN.H11MO.0.A	VDR	Thyroid hormone receptor-related factors (NR1){2.1.2}
VEZF1_HUMAN.H11MO.0.C	VEZF1	Factors with multiple dispersed zinc fingers{2.3.4}
WT1_HUMAN.H11MO.0.C	WT1	More than 3 adjacent zinc finger factors{2.3.3}
Z324A_HUMAN.H11MO.0.C	ZNF324	More than 3 adjacent zinc finger factors{2.3.3}
Z354A_HUMAN.H11MO.0.C	ZNF354A	More than 3 adjacent zinc finger factors{2.3.3}
ZBT14_HUMAN.H11MO.0.C	ZBTB14	More than 3 adjacent zinc finger factors{2.3.3}
ZBT17_HUMAN.H11MO.0.A	ZBTB17	Factors with multiple dispersed zinc fingers{2.3.4}
ZBT18_HUMAN.H11MO.0.C	ZBTB18	More than 3 adjacent zinc finger factors{2.3.3}
ZBT48_HUMAN.H11MO.0.C	ZBTB48	More than 3 adjacent zinc finger factors{2.3.3}
ZBT7A_HUMAN.H11MO.0.A	ZBTB7A	More than 3 adjacent zinc finger factors{2.3.3}
ZBTB6_HUMAN.H11MO.0.C	ZBTB6	More than 3 adjacent zinc finger factors{2.3.3}
ZEB1_HUMAN.H11MO.0.A	ZEB1	HD-ZF factors{3.1.8}
ZFP28_HUMAN.H11MO.0.C	ZFP28	More than 3 adjacent zinc finger factors{2.3.3}
ZFP42_HUMAN.H11MO.0.A	ZFP42	More than 3 adjacent zinc finger factors{2.3.3}
ZFP82_HUMAN.H11MO.0.C	ZFP82	More than 3 adjacent zinc finger factors{2.3.3}
ZFX_HUMAN.H11MO.0.A	ZFX	More than 3 adjacent zinc finger factors{2.3.3}
ZIC1_HUMAN.H11MO.0.B	ZIC1	More than 3 adjacent zinc finger factors{2.3.3}
ZIC3_HUMAN.H11MO.0.B	ZIC3	More than 3 adjacent zinc finger factors{2.3.3}
ZIM3_HUMAN.H11MO.0.C	ZIM3	More than 3 adjacent zinc finger factors{2.3.3}
ZKSC1_HUMAN.H11MO.0.B	ZKSCAN1	More than 3 adjacent zinc finger factors{2.3.3}
ZN121_HUMAN.H11MO.0.C	ZNF121	More than 3 adjacent zinc finger factors{2.3.3}
ZN134_HUMAN.H11MO.0.C	ZNF134	Factors with multiple dispersed zinc fingers{2.3.4}
ZN136_HUMAN.H11MO.0.C	ZNF136	More than 3 adjacent zinc finger factors{2.3.3}
ZN140_HUMAN.H11MO.0.C	ZNF140	More than 3 adjacent zinc finger factors{2.3.3}
ZN143_HUMAN.H11MO.0.A	ZNF143	More than 3 adjacent zinc finger factors{2.3.3}
ZN214_HUMAN.H11MO.0.C	ZNF214	More than 3 adjacent zinc finger factors{2.3.3}
ZN250_HUMAN.H11MO.0.C	ZNF250	More than 3 adjacent zinc finger factors{2.3.3}
ZN257_HUMAN.H11MO.0.C	ZNF257	More than 3 adjacent zinc finger factors{2.3.3}
ZN260_HUMAN.H11MO.0.C	ZNF260	More than 3 adjacent zinc finger factors{2.3.3}
ZN263_HUMAN.H11MO.0.A	ZNF263	More than 3 adjacent zinc finger factors{2.3.3}
ZN264_HUMAN.H11MO.0.C	ZNF264	More than 3 adjacent zinc finger factors{2.3.3}
ZN274_HUMAN.H11MO.0.A	ZNF274	More than 3 adjacent zinc finger factors{2.3.3}
ZN281_HUMAN.H11MO.0.A	ZNF281	More than 3 adjacent zinc finger factors{2.3.3}
ZN317_HUMAN.H11MO.0.C	ZNF317	More than 3 adjacent zinc finger factors{2.3.3}
ZN320_HUMAN.H11MO.0.C	ZNF320	More than 3 adjacent zinc finger factors{2.3.3}
ZN322_HUMAN.H11MO.0.B	ZNF322	More than 3 adjacent zinc finger factors{2.3.3}
ZN329_HUMAN.H11MO.0.C	ZNF329	More than 3 adjacent zinc finger factors{2.3.3}
ZN331_HUMAN.H11MO.0.C	ZNF331	More than 3 adjacent zinc finger factors{2.3.3}
ZN335_HUMAN.H11MO.0.A	ZNF335	Factors with multiple dispersed zinc fingers{2.3.4}
ZN341_HUMAN.H11MO.0.C	ZNF341	Factors with multiple dispersed zinc fingers{2.3.4}
ZN350_HUMAN.H11MO.0.C	ZNF350	More than 3 adjacent zinc finger factors{2.3.3}
ZN382_HUMAN.H11MO.0.C	ZNF382	Factors with multiple dispersed zinc fingers{2.3.4}
ZN384_HUMAN.H11MO.0.C	ZNF384	More than 3 adjacent zinc finger factors{2.3.3}
ZN394_HUMAN.H11MO.0.C	ZNF394	More than 3 adjacent zinc finger factors{2.3.3}
ZN418_HUMAN.H11MO.0.C	ZNF418	Factors with multiple dispersed zinc fingers{2.3.4}
ZN436_HUMAN.H11MO.0.C	ZNF436	More than 3 adjacent zinc finger factors{2.3.3}
ZN449_HUMAN.H11MO.0.C	ZNF449	More than 3 adjacent zinc finger factors{2.3.3}
ZN467_HUMAN.H11MO.0.C	ZNF467	Factors with multiple dispersed zinc fingers{2.3.4}
ZN490_HUMAN.H11MO.0.C	ZNF490	More than 3 adjacent zinc finger factors{2.3.3}
ZN502_HUMAN.H11MO.0.C	ZNF502	More than 3 adjacent zinc finger factors{2.3.3}
ZN528_HUMAN.H11MO.0.C	ZNF528	More than 3 adjacent zinc finger factors{2.3.3}
ZN547_HUMAN.H11MO.0.C	ZNF547	More than 3 adjacent zinc finger factors{2.3.3}
ZN549_HUMAN.H11MO.0.C	ZNF549	More than 3 adjacent zinc finger factors{2.3.3}
ZN554_HUMAN.H11MO.0.C	ZNF554	More than 3 adjacent zinc finger factors{2.3.3}
ZN563_HUMAN.H11MO.0.C	ZNF563	More than 3 adjacent zinc finger factors{2.3.3}
ZN582_HUMAN.H11MO.0.C	ZNF582	More than 3 adjacent zinc finger factors{2.3.3}
ZN586_HUMAN.H11MO.0.C	ZNF586	More than 3 adjacent zinc finger factors{2.3.3}
ZN667_HUMAN.H11MO.0.C	ZNF667	More than 3 adjacent zinc finger factors{2.3.3}
ZN680_HUMAN.H11MO.0.C	ZNF680	More than 3 adjacent zinc finger factors{2.3.3}
ZN708_HUMAN.H11MO.0.C	ZNF708	More than 3 adjacent zinc finger factors{2.3.3}
ZN768_HUMAN.H11MO.0.C	ZNF768	More than 3 adjacent zinc finger factors{2.3.3}
ZN770_HUMAN.H11MO.0.C	ZNF770	Factors with multiple dispersed zinc fingers{2.3.4}
ZN816_HUMAN.H11MO.0.C	ZNF816	More than 3 adjacent zinc finger factors{2.3.3}
ZNF18_HUMAN.H11MO.0.C	ZNF18	More than 3 adjacent zinc finger factors{2.3.3}
ZNF41_HUMAN.H11MO.0.C	ZNF41	More than 3 adjacent zinc finger factors{2.3.3}
ZNF76_HUMAN.H11MO.0.C	ZNF76	More than 3 adjacent zinc finger factors{2.3.3}
ZNF85_HUMAN.H11MO.0.C	ZNF85	More than 3 adjacent zinc finger factors{2.3.3}
ZNF8_HUMAN.H11MO.0.C	ZNF8	Factors with multiple dispersed zinc fingers{2.3.4}
ZSC22_HUMAN.H11MO.0.C	ZSCAN22	More than 3 adjacent zinc finger factors{2.3.3}
ZSC31_HUMAN.H11MO.0.C	ZSCAN31	More than 3 adjacent zinc finger factors{2.3.3}
